Position,,,,Title,,,,Rating,Runtime (mins),Year,Genre,Votes,Release,Directors
55,,,,Doctor Strange,,,,7.5,115,2016,Superhero,561954,2016-10-13,Scott Derrickson
56,,,,RoboCop,,,,7.5,102,1987,Sci-Fi,223429,1987-07-17,Paul Verhoeven
78,,,,Sherlock Holmes: A Game of Shadows,,,,7.5,129,2011,Spy,407502,2011-12-10,Guy Ritchie
80,,,,John Wick: Chapter 2,,,,7.5,122,2017,Spy,338752,2017-01-30,Chad Stahelski
87,,,,Ready Player One,,,,7.5,140,2018,Sci-Fi,338199,2018-03-11,Steven Spielberg
53,,,,Bullitt,,,,7.4,114,1968,Thriller,57855,1968-10-17,Peter Yates
67,,,,Looper,,,,7.4,113,2012,Sci-Fi,518256,2012-09-06,Rian Johnson
71,,,,Wonder Woman,,,,7.4,141,2017,Superhero,523299,2017-05-15,Patty Jenkins
77,,,,Equilibrium,,,,7.4,107,2002,Sci-Fi,304054,2002-12-06,Kurt Wimmer
81,,,,John Wick,,,,7.4,101,2014,Spy,503589,2014-09-19,"David Leitch, Chad Stahelski"
92,,,,X-Men,,,,7.4,104,2000,Superhero,554559,2000-07-12,Bryan Singer
97,,,,The Rock,,,,7.4,136,1996,Thriller,302642,1996-06-07,Michael Bay
29,,,,Ronin,,,,7.3,122,1998,Thriller,166561,1998-09-12,John Frankenheimer
37,,,,Face/Off,,,,7.3,138,1997,Sci-Fi,338113,1997-06-19,John Woo
39,,,,Spider-Man,,,,7.3,121,2002,Superhero,664802,2002-04-30,Sam Raimi
49,,,,Enemy of the State,,,,7.3,132,1998,Thriller,220619,1998-11-18,Tony Scott
54,,,,Nikita,,,,7.3,117,1990,Thriller,65144,1990-02-21,Luc Besson
64,,,,Ant-Man,,,,7.3,117,2015,Superhero,539707,2015-06-29,Peyton Reed
73,,,,American Sniper,,,,7.3,133,2014,War,420510,2014-11-11,Clint Eastwood
84,,,,Black Panther,,,,7.3,134,2018,Superhero,574492,2018-01-29,Ryan Coogler
30,,,,True Lies,,,,7.2,141,1994,Thriller,228727,1994-07-12,James Cameron
41,,,,Defiance,,,,7.2,137,2008,War,133932,2008-12-31,Edward Zwick
59,,,,Desperado,,,,7.2,104,1995,Thriller,165993,1995-05-31,Robert Rodriguez
66,,,,The Matrix Reloaded,,,,7.2,138,2003,Sci-Fi,497232,2003-05-07,"Lilly Wachowski, Lana Wachowski"
74,,,,King Kong,,,,7.2,187,2005,Thriller,378985,2005-12-05,Peter Jackson
96,,,,Speed,,,,7.2,116,1994,Thriller,316047,1994-06-10,Jan de Bont
98,,,,The Hunger Games,,,,7.2,142,2012,Sci-Fi,817991,2012-03-12,Gary Ross
36,,,,Mission: Impossible,,,,7.1,110,1996,Spy,372690,1996-05-20,Brian De Palma
70,,,,Spy Game,,,,7.1,126,2001,Spy,140219,2001-11-19,Tony Scott
99,,,,"I, Robot",,,,7.1,115,2004,Sci-Fi,483434,2004-07-07,Alex Proyas
60,,,,The Mummy,,,,7,124,1999,Thriller,378080,1999-04-16,Stephen Sommers
89,,,,Jurassic World,,,,7,124,2015,Sci-Fi,559785,2015-05-29,Colin Trevorrow
94,,,,The World's End,,,,7,109,2013,Sci-Fi,248365,2013-07-10,Edgar Wright
86,,,,Bad Boys,,,,6.9,119,1995,Thriller,228686,1995-04-06,Michael Bay
57,,,,The Matrix Revolutions,,,,6.8,129,2003,Sci-Fi,431812,2003-10-27,"Lilly Wachowski, Lana Wachowski"
85,,,,Fast & Furious,,,,6.6,107,2009,Thriller,252650,2009-03-12,Justin Lin
100,,,,Prince of Persia: The Sands of Time,,,,6.6,116,2010,Thriller,263981,2010-05-09,Mike Newell
88,,,,Mr. & Mrs. Smith,,,,6.5,120,2005,Thriller,435004,2005-06-07,Doug Liman
45,,,,Mission: Impossible II,,,,6.1,123,2000,Spy,302335,2000-05-18,John Woo
101,,,,Wong Fei Hung,,,,7.3,134,1991,Thriller,16552,1991-08-15,Hark Tsui
102,,,,Children of Men,,,,7.9,109,2006,Thriller,445568,2006-09-03,Alfonso Cuarón
103,,,,A' gai wak,,,,7.4,105,1983,Thriller,14148,1983-12-22,"Jackie Chan, Sammo Kam-Bo Hung"
104,,,,Blade II,,,,6.7,117,2002,Sci-Fi,193486,2002-03-21,Guillermo del Toro
105,,,,Joheunnom nabbeunnom isanghannom,,,,7.3,139,2008,Thriller,32054,2008-05-24,Jee-woon Kim
106,,,,Xia dao Gao Fei,,,,7.1,96,1992,Thriller,3857,1992-07-23,Ringo Lam
107,,,,The Running Man,,,,6.7,101,1987,Sci-Fi,136180,1987-11-13,Paul Michael Glaser
108,,,,Star Trek,,,,7.9,127,2009,Sci-Fi,566973,2009-04-06,J.J. Abrams
109,,,,Kiss of the Dragon,,,,6.6,98,2001,Thriller,59453,2001-06-25,Chris Nahon
110,,,,Watchmen,,,,7.6,162,2009,Sci-Fi,482538,2009-02-23,Zack Snyder
111,,,,Goemon,,,,6.7,128,2009,Thriller,5053,2009-03-19,Kazuaki Kiriya
112,,,,Apocalypto,,,,7.8,139,2006,Thriller,279666,2006-12-08,Mel Gibson
113,,,,Independence Day,,,,7,145,1996,Sci-Fi,511939,1996-06-25,Roland Emmerich
114,,,,Kurôzu zero,,,,7.1,130,2007,Thriller,7135,2007-10-27,Takashi Miike
115,,,,Rescue Dawn,,,,7.3,120,2006,War,98026,2006-09-09,Werner Herzog
116,,,,The Wild Bunch,,,,7.9,135,1969,Thriller,74682,1969-05-01,Sam Peckinpah
117,,,,Transformers,,,,7,144,2007,Sci-Fi,582835,2007-06-12,Michael Bay
118,,,,In the Line of Fire,,,,7.2,128,1993,Thriller,88516,1993-07-08,Wolfgang Petersen
119,,,,Mad Max 2,,,,7.6,96,1981,Sci-Fi,160488,1981-12-24,George Miller
120,,,,King Kong,,,,7.2,187,2005,Thriller,378976,2005-12-05,Peter Jackson
121,,,,GoldenEye,,,,7.2,130,1995,Spy,230895,1995-11-13,Martin Campbell
122,,,,Tom yum goong,,,,7.1,111,2005,Thriller,34326,2005-08-11,Prachya Pinkaew
123,,,,Hard Times,,,,7.3,93,1975,Thriller,8885,1975-09-04,Walter Hill
124,,,,Shao Lin san shi liu fang,,,,7.7,116,1978,Thriller,13897,1978-02-02,Chia-Liang Liu
125,,,,Hanna,,,,6.8,111,2011,Thriller,184748,2011-04-07,Joe Wright
126,,,,Iron Man,,,,7.9,126,2008,Superhero,905320,2008-04-14,Jon Favreau
127,,,,Siu nin Wong Fei Hung chi: Tit ma lau,,,,7.5,90,1993,Thriller,14967,1993-09-03,Woo-Ping Yuen
128,,,,Taxi,,,,7,86,1998,Thriller,74189,1998-04-08,Gérard Pirès
129,,,,The Guns of Navarone,,,,7.5,158,1961,War,43685,1961-04-27,J. Lee Thompson
130,,,,Kick-Ass,,,,7.6,117,2010,Thriller,512180,2010-03-12,Matthew Vaughn
131,,,,The Book of Eli,,,,6.9,118,2010,Thriller,283370,2010-01-11,"Allen Hughes, Albert Hughes"
132,,,,The Rundown,,,,6.7,104,2003,Thriller,98431,2003-09-22,Peter Berg
133,,,,The Mask of Zorro,,,,6.7,136,1998,Thriller,162991,1998-07-17,Martin Campbell
134,,,,Payback,,,,7.1,100,1999,Thriller,128056,1999-02-05,Brian Helgeland
135,,,,Where Eagles Dare,,,,7.7,158,1968,War,49528,1968-12-21,Brian G. Hutton
136,,,,Tang shan da xiong,,,,7.1,100,1971,Thriller,23147,1971-10-23,"Wei Lo, Chia-Hsiang Wu"
